id,type,readonly,group,name
0,8,0,radiotest,channel
1,0,0,radiotest,power
2,8,0,radiotest,contwave
3,8,0,activeMarker,front
4,8,0,activeMarker,back
5,8,0,activeMarker,left
6,8,0,activeMarker,right
7,8,0,activeMarker,mode
8,8,0,activeMarker,poll
9,8,1,deck,bcActiveMarker
10,8,1,deck,bcAI
11,8,1,deck,bcBuzzer
12,8,1,deck,bcFlow
13,8,1,deck,bcFlow2
14,8,1,deck,bcLedRing
15,8,1,deck,bcLighthouse4
16,8,1,deck,bcDWM1000
17,8,1,deck,bcLoco
18,8,1,deck,bcMultiranger
19,8,1,deck,bcOA
20,8,1,deck,bcUSD
21,8,1,deck,bcZRanger
22,8,1,deck,bcZRanger2
23,8,1,deck,bcColorLedBot
24,8,1,deck,bcColorLedTop
25,8,0,motion,disable
26,8,0,motion,adaptive
27,6,0,motion,flowStdFixed
28,8,0,ring,effect
29,10,1,ring,neffect
30,8,0,ring,solidRed
31,8,0,ring,solidGreen
32,8,0,ring,solidBlue
33,8,0,ring,headlightEnable
34,6,0,ring,emptyCharge
35,6,0,ring,fullCharge
36,10,0,ring,fadeColor
37,6,0,ring,fadeTime
38,8,0,system,highlight
39,8,0,system,storageStats
40,8,0,system,storageReformat
41,8,0,system,taskDump
42,0,1,system,selftestPassed
43,8,0,system,assertInfo
44,8,0,system,testLogParam
45,8,0,system,doAssert
46,8,0,loco,mode
47,6,0,tdoa2,stddev
48,6,0,tdoa3,stddev
49,9,0,multiranger,filterMask
50,8,1,usd,canLog
51,8,0,usd,logging
52,10,0,colorLedBot,wrgb8888
53,8,0,colorLedBot,brightCorr
54,10,0,colorLedTop,wrgb8888
55,8,0,colorLedTop,brightCorr
56,8,1,deckTest,bcColorLedBot
57,8,1,deckTest,bcColorLedTop
58,8,0,led,bitmask
59,8,0,motorPowerSet,enable
60,9,0,motorPowerSet,m1
61,9,0,motorPowerSet,m2
62,9,0,motorPowerSet,m3
63,9,0,motorPowerSet,m4
64,6,0,pm,lowVoltage
65,6,0,pm,criticalLowVoltage
66,8,1,imu_sensors,BMP3XX
67,6,0,imu_sensors,imuPhi
68,6,0,imu_sensors,imuTheta
69,6,0,imu_sensors,imuPsi
70,8,0,syslink,probe
71,8,0,usec,reset
72,8,0,colAv,enable
73,6,0,colAv,ellipsoidX
74,6,0,colAv,ellipsoidY
75,6,0,colAv,ellipsoidZ
76,6,0,colAv,bboxMinX
77,6,0,colAv,bboxMinY
78,6,0,colAv,bboxMinZ
79,6,0,colAv,bboxMaxX
80,6,0,colAv,bboxMaxY
81,6,0,colAv,bboxMaxZ
82,6,0,colAv,horizon
83,6,0,colAv,maxSpeed
84,6,0,colAv,sidestepThrsh
85,2,0,colAv,maxPeerLocAge
86,6,0,colAv,vorTol
87,2,0,colAv,vorIters
88,8,0,commander,enHighLevel
89,6,0,cppm,rateRoll
90,6,0,cppm,ratePitch
91,6,0,cppm,angPitch
92,6,0,cppm,angRoll
93,6,0,cppm,rateYaw
94,6,0,hlCommander,vtoff
95,6,0,hlCommander,vland
96,8,0,hlCommander,groupmask
97,8,0,flightmode,althold
98,8,0,flightmode,poshold
99,8,0,flightmode,posSet
100,8,0,flightmode,yawMode
101,8,0,flightmode,stabModeRoll
102,8,0,flightmode,stabModePitch
103,8,0,flightmode,stabModeYaw
104,8,0,locSrv,enRangeStreamFP32
105,8,0,locSrv,enLhAngleStream
106,8,0,locSrv,enLhMtchStm
107,8,0,locSrv,maxTimeLhMtchStm
108,8,0,locSrv,minBsLhMtchStm
109,6,0,locSrv,extPosStdDev
110,6,0,locSrv,extQuatStdDev
111,9,0,crtpsrv,echoDelay
112,8,0,health,startPropTest
113,8,0,health,startBatTest
114,6,0,health,propTestThreshold
115,6,0,health,propTestThresholdL
116,9,0,health,propTestPWMRatio
117,9,0,health,batTestPWMRatio
118,6,0,kalman,maxPos
119,6,0,kalman,maxVel
120,8,0,kalman,resetEstimation
121,8,0,kalman,robustTdoa
122,8,0,kalman,robustTwr
123,6,0,kalman,pNAcc_xy
124,6,0,kalman,pNAcc_z
125,6,0,kalman,pNVel
126,6,0,kalman,pNPos
127,6,0,kalman,pNAtt
128,6,0,kalman,mNBaro
129,6,0,kalman,mNGyro_rollpitch
130,6,0,kalman,mNGyro_yaw
131,6,0,kalman,initialX
132,6,0,kalman,initialY
133,6,0,kalman,initialZ
134,6,0,kalman,initialYaw
135,6,0,kalman,dragB_x
136,6,0,kalman,dragB_y
137,6,0,kalman,dragB_z
138,6,0,kalman,cop_x
139,6,0,kalman,cop_y
140,6,0,kalman,cop_z
141,10,0,led_deck_ctrl,rgb888
142,8,0,memTst,resetW
143,10,0,powerDist,idleThrust
144,6,0,sensfusion6,kp
145,6,0,sensfusion6,ki
146,6,0,sensfusion6,baseZacc
147,8,0,sound,effect
148,10,1,sound,neffect
149,9,0,sound,freq
150,8,0,stabilizer,estimator
151,8,0,stabilizer,controller
152,8,0,stabilizer,stop
153,8,0,supervisor,infdmp
154,9,0,supervisor,prefltTimeout
155,9,0,supervisor,landedTimeout
156,8,0,supervisor,tmblChckEn
157,9,1,cpu,flash
158,10,1,cpu,id0
159,10,1,cpu,id1
160,10,1,cpu,id2
161,8,0,tdoaEngine,logId
162,8,0,tdoaEngine,logOthrId
163,8,0,tdoaEngine,matchAlgo
164,6,0,flowdeck,flowdeckPos_x
165,6,0,flowdeck,flowdeckPos_y
166,6,0,flowdeck,flowdeckPos_z
167,8,0,lighthouse,method
168,8,0,lighthouse,bsCalibReset
169,8,0,lighthouse,systemType
170,9,1,lighthouse,bsAvailable
171,6,0,lighthouse,sweepStd
172,6,0,lighthouse,sweepStd2
173,8,0,lighthouse,enLhRawStream
174,9,0,lighthouse,lh2maxRate
175,6,0,pid_attitude,roll_kp
176,6,0,pid_attitude,roll_ki
177,6,0,pid_attitude,roll_kd
178,6,0,pid_attitude,roll_kff
179,6,0,pid_attitude,pitch_kp
180,6,0,pid_attitude,pitch_ki
181,6,0,pid_attitude,pitch_kd
182,6,0,pid_attitude,pitch_kff
183,6,0,pid_attitude,yaw_kp
184,6,0,pid_attitude,yaw_ki
185,6,0,pid_attitude,yaw_kd
186,6,0,pid_attitude,yaw_kff
187,6,0,pid_attitude,yawMaxDelta
188,0,0,pid_attitude,attFiltEn
189,6,0,pid_attitude,attFiltCut
190,6,0,pid_rate,roll_kp
191,6,0,pid_rate,roll_ki
192,6,0,pid_rate,roll_kd
193,6,0,pid_rate,roll_kff
194,6,0,pid_rate,pitch_kp
195,6,0,pid_rate,pitch_ki
196,6,0,pid_rate,pitch_kd
197,6,0,pid_rate,pitch_kff
198,6,0,pid_rate,yaw_kp
199,6,0,pid_rate,yaw_ki
200,6,0,pid_rate,yaw_kd
201,6,0,pid_rate,yaw_kff
202,0,0,pid_rate,rateFiltEn
203,6,0,pid_rate,omxFiltCut
204,6,0,pid_rate,omyFiltCut
205,6,0,pid_rate,omzFiltCut
206,6,0,ctrlINDI,thrust_threshold
207,6,0,ctrlINDI,bound_ctrl_input
208,6,0,ctrlINDI,g1_p
209,6,0,ctrlINDI,g1_q
210,6,0,ctrlINDI,g1_r
211,6,0,ctrlINDI,g2
212,6,0,ctrlINDI,ref_err_p
213,6,0,ctrlINDI,ref_err_q
214,6,0,ctrlINDI,ref_err_r
215,6,0,ctrlINDI,ref_rate_p
216,6,0,ctrlINDI,ref_rate_q
217,6,0,ctrlINDI,ref_rate_r
218,6,0,ctrlINDI,act_dyn_p
219,6,0,ctrlINDI,act_dyn_q
220,6,0,ctrlINDI,act_dyn_r
221,6,0,ctrlINDI,filt_cutoff
222,6,0,ctrlINDI,filt_cutoff_r
223,8,0,ctrlINDI,outerLoopActive
224,6,0,ctrlMel,kp_xy
225,6,0,ctrlMel,kd_xy
226,6,0,ctrlMel,ki_xy
227,6,0,ctrlMel,i_range_xy
228,6,0,ctrlMel,kp_z
229,6,0,ctrlMel,kd_z
230,6,0,ctrlMel,ki_z
231,6,0,ctrlMel,i_range_z
232,6,0,ctrlMel,mass
233,6,0,ctrlMel,massThrust
234,6,0,ctrlMel,kR_xy
235,6,0,ctrlMel,kR_z
236,6,0,ctrlMel,kw_xy
237,6,0,ctrlMel,kw_z
238,6,0,ctrlMel,ki_m_xy
239,6,0,ctrlMel,ki_m_z
240,6,0,ctrlMel,kd_omega_rp
241,6,0,ctrlMel,i_range_m_xy
242,6,0,ctrlMel,i_range_m_z
243,6,0,ctrlAtt,tau_xy
244,6,0,ctrlAtt,zeta_xy
245,6,0,ctrlAtt,tau_z
246,6,0,ctrlAtt,zeta_z
247,6,0,ctrlAtt,tau_rp
248,6,0,ctrlAtt,mixing_factor
249,6,0,ctrlAtt,coll_fairness
250,6,0,posCtrlIndi,K_xi_x
251,6,0,posCtrlIndi,K_xi_y
252,6,0,posCtrlIndi,K_xi_z
253,6,0,posCtrlIndi,K_dxi_x
254,6,0,posCtrlIndi,K_dxi_y
255,6,0,posCtrlIndi,K_dxi_z
256,6,0,posCtrlIndi,pq_clamping
257,6,0,posCtlPid,xKp
258,6,0,posCtlPid,xKi
259,6,0,posCtlPid,xKd
260,6,0,posCtlPid,xKff
261,6,0,posCtlPid,yKp
262,6,0,posCtlPid,yKi
263,6,0,posCtlPid,yKd
264,6,0,posCtlPid,yKff
265,6,0,posCtlPid,zKp
266,6,0,posCtlPid,zKi
267,6,0,posCtlPid,zKd
268,6,0,posCtlPid,zKff
269,9,0,posCtlPid,thrustBase
270,9,0,posCtlPid,thrustMin
271,6,0,posCtlPid,rLimit
272,6,0,posCtlPid,pLimit
273,6,0,posCtlPid,xVelMax
274,6,0,posCtlPid,yVelMax
275,6,0,posCtlPid,zVelMax
276,6,0,velCtlPid,vxKp
277,6,0,velCtlPid,vxKi
278,6,0,velCtlPid,vxKd
279,6,0,velCtlPid,vxKFF
280,6,0,velCtlPid,vyKp
281,6,0,velCtlPid,vyKi
282,6,0,velCtlPid,vyKd
283,6,0,velCtlPid,vyKFF
284,6,0,velCtlPid,vzKp
285,6,0,velCtlPid,vzKi
286,6,0,velCtlPid,vzKd
287,6,0,velCtlPid,vzKFF
288,6,0,ctrlLee,KR_x
289,6,0,ctrlLee,KR_y
290,6,0,ctrlLee,KR_z
291,6,0,ctrlLee,KI_x
292,6,0,ctrlLee,KI_y
293,6,0,ctrlLee,KI_z
294,6,0,ctrlLee,Kw_x
295,6,0,ctrlLee,Kw_y
296,6,0,ctrlLee,Kw_z
297,6,0,ctrlLee,J_x
298,6,0,ctrlLee,J_y
299,6,0,ctrlLee,J_z
300,6,0,ctrlLee,Kpos_Px
301,6,0,ctrlLee,Kpos_Py
302,6,0,ctrlLee,Kpos_Pz
303,6,0,ctrlLee,Kpos_P_limit
304,6,0,ctrlLee,Kpos_Dx
305,6,0,ctrlLee,Kpos_Dy
306,6,0,ctrlLee,Kpos_Dz
307,6,0,ctrlLee,Kpos_D_limit
308,6,0,ctrlLee,Kpos_Ix
309,6,0,ctrlLee,Kpos_Iy
310,6,0,ctrlLee,Kpos_Iz
311,6,0,ctrlLee,Kpos_I_limit
312,6,0,ctrlLee,mass
313,6,0,posEstAlt,estAlphaAsl
314,6,0,posEstAlt,estAlphaZr
315,6,0,posEstAlt,velFactor
316,6,0,posEstAlt,velZAlpha
317,6,0,posEstAlt,vAccDeadband
318,10,1,firmware,revision0
319,9,1,firmware,revision1
320,8,1,firmware,modified
321,8,0,indi_gains,ctrl_mode
322,6,0,indi_gains,kr
323,6,0,indi_gains,kw
324,6,0,indi_gains,kr_z
325,6,0,indi_gains,kw_z
326,6,0,indi_gains,kt1
327,6,0,indi_gains,kt2
328,6,0,indi_gains,kt3
329,6,0,indi_gains,kt4
330,6,0,indi_gains,fc_bw
331,6,0,indi_gains,fc_iir
332,6,0,indi_gains,mass
333,8,0,indi_gains,ff_free
334,8,0,indi_gains,filt_order
335,8,0,indi_gains,filt_tau
336,6,0,indi_gains,j_scale
337,6,0,indi_gains,act_tau
338,8,0,indi_gains,clamp_en
339,6,0,indi_gains,tau_xy_max
340,6,0,indi_gains,tau_z_max
341,6,0,indi_gains,tilt_max_deg
342,6,0,indi_gains,thrust_max
343,8,0,indi_gains,notch_en
344,6,0,indi_gains,notch_f0
345,6,0,indi_gains,notch_bw
346,6,0,pos_gains,kp_xy
347,6,0,pos_gains,kp_z
348,6,0,pos_gains,kv_xy
349,6,0,pos_gains,kv_z
350,8,0,traj,mode
351,8,0,traj,start
352,8,0,traj,reps
353,8,0,traj,n_entry
354,8,0,traj,n_exit
355,8,0,traj,nseg
356,6,0,traj,ox
357,6,0,traj,oy
358,6,0,traj,hz
359,6,0,traj,dz
360,9,0,traj,ci
361,6,0,traj,cv
362,8,0,traj,cw
363,8,0,traj,z_mode
364,8,0,traj,zci
365,6,0,traj,zcv
366,8,0,traj,zcw
367,8,0,traj,att_mode
368,8,0,traj,att_ctrl_mode
369,8,0,traj,aci
370,6,0,traj,acv
371,8,0,traj,acw
